Description,Latitude,Longitude
Pokestop,-37.789737,144.976202
Pokestop,-37.790455,144.97989
Pokestop,-37.790831,144.979624
Pokestop,-37.791349,144.97587
Pokestop,-37.791519,144.981672
Pokestop,-37.79175,144.975143
Pokestop,-37.792012,144.98198
Pokestop,-37.792238,144.976181
Pokestop,-37.792787,144.974998
Pokestop,-37.792809,144.975539
Pokestop,-37.792845,144.982493
Pokestop,-37.792852,144.9795
Pokestop,-37.792891,144.979781
Pokestop,-37.792998,144.979213
Pokestop,-37.793287,144.981765
Pokestop,-37.793328,144.982917
Pokestop,-37.793482,144.978222
Pokestop,-37.793498,144.978701
Pokestop,-37.7937,144.980419
Pokestop,-37.793808,144.981661
Pokestop,-37.793929,144.980381
Pokestop,-37.793935,144.988076
Pokestop,-37.79416,144.99062
Pokestop,-37.794264,144.991383
Pokestop,-37.794266,144.979692
Pokestop,-37.794392,144.985175
Pokestop,-37.79447,144.978561
Pokestop,-37.79448,144.983175
Pokestop,-37.794587,144.983941
Pokestop,-37.794692,144.979235
Pokestop,-37.794914,144.978499
Pokestop,-37.794931,144.979533
Pokestop,-37.794954,144.981476
Pokestop,-37.795016,144.980139
Pokestop,-37.79528,144.97774
Pokestop,-37.795344,144.985662
Pokestop,-37.795356,144.979224
Pokestop,-37.795412,144.978823
Pokestop,-37.79544,144.98502
Pokestop,-37.795445,144.980517
Pokestop,-37.795478,144.982939
Pokestop,-37.79557,144.98788
Pokestop,-37.795572,144.981309
Pokestop,-37.795806,144.988325
Pokestop,-37.795941,144.984031
Pokestop,-37.795953,144.97779
Pokestop,-37.795977,144.985849
Pokestop,-37.796094,144.983631
Pokestop,-37.79625,144.980969
Pokestop,-37.79629,144.981673
Pokestop,-37.796322,144.979303
Pokestop,-37.796369,144.979873
Pokestop,-37.796388,144.982723
Pokestop,-37.796419,144.984803
Pokestop,-37.796601,144.978082
Pokestop,-37.796654,144.978515
Pokestop,-37.796665,144.987403
Pokestop,-37.796713,144.982327
Pokestop,-37.796855,144.983504
Pokestop,-37.796865,144.985153
Pokestop,-37.796876,144.992651
Pokestop,-37.796903,144.97916
Pokestop,-37.796918,144.986849
Pokestop,-37.797041,144.993169
Pokestop,-37.79712,144.978156
Pokestop,-37.797239,144.982223
Pokestop,-37.797256,144.979244
Pokestop,-37.797312,144.983094
Pokestop,-37.797475,144.993107
Pokestop,-37.797533,144.977888
Pokestop,-37.797597,144.978502
Pokestop,-37.797649,144.984609
Pokestop,-37.797695,144.986384
Pokestop,-37.797708,144.984367
Pokestop,-37.797727,144.98538
Pokestop,-37.797792,144.987236
Pokestop,-37.797833,144.981783
Pokestop,-37.797883,144.981454
Pokestop,-37.797907,144.982709
Pokestop,-37.797982,144.987691
Pokestop,-37.798013,144.984986
Pokestop,-37.798032,144.980691
Pokestop,-37.798085,144.98668
Pokestop,-37.798155,144.981849
Pokestop,-37.798252,144.987404
Pokestop,-37.798309,144.979554
Pokestop,-37.798317,144.980875
Pokestop,-37.798357,144.946809
Pokestop,-37.798391,144.98631
